brand,name,price,category,image_url
Moncler,"Men's Promyx Space Platform Low-Top Sneakers, Red",595,Men,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4092906_100491_k"
Giuseppe Zanotti,Men's Metallic-Sole Low-Top Sneakers,795,Men,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4129356_100106_k"
Alexander McQueen,Men's Tread Slick Canvas Embroidered Boots,1290,Men,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4085761_100131_k"
Givenchy,Men's GIV 1 Mesh Clear-Sole Runner Sneakers,895,Men,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4149871_100380_k"
Saint Laurent,Men's Court Classic SL/06 Leather Low-Top Sneakers,595,Men,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4016684_100189_k"
Tory Burch,Good Luck Trainer Sneakers,278,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4155711_100101_k"
Tory Burch,Good Luck Trainer Sneakers,278,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4155701_100554_k"
Christian Louboutin,Low-Top Canvas Sneakers,595,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4038876_100189_k"
Balenciaga,Triple S Air Nylon Sneakers,1150,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4062561_100323_k"
Christian Louboutin,Bicolor Low-Top Logo Sneakers,895,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4038856_100189_k"
Dolce&Gabbana,Daymaster Mixed Leather Runner Sneakers,795,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4133372_100561_k"
Balenciaga,Speed Stretch-Knit High-Top Sock Trainer,895,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_3341090_100106_k"
Loro Piana,Nuages Calfskin Low-Top Sneakers,1150,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_2316768_100189_k"
Givenchy,Urban Street Leather Low Sneakers,495,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_3044163_100208_k"
Golden Goose,Superstar Navy Glitter With Snake Back And White Star Sneakers,600,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4134269_100404_k"
Prada,Nylon Lace-Up Fashion Mid-Top Sneakers,995,Women,https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMX5ESE_10_k?&wid=304&height=456
Golden Goose,Superstar Leather Glitter Low-Top Sneakers,530,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4134261_100188_k"
